sampno,total_num_pev,total_num_bev,flag_company_charging,primary_chargeloc_14,primary_chargeloc_17,primary_chargeloc_24,primary_chargeloc_27,primary_chargeloc_34,primary_chargeloc_37,primary_chargeloc_44,primary_chargeloc_47,primary_chargetech_14,primary_chargetech_17,primary_chargetech_24,primary_chargetech_27,primary_chargetech_34,primary_chargetech_37,primary_chargetech_44,primary_chargetech_47,plug_freq_14,plug_freq_17,plug_freq_24,plug_freq_27,plug_freq_34,plug_freq_37,plug_freq_44,plug_freq_47,chargetime_day_14_1,chargetime_day_17_1,chargetime_day_24_1,chargetime_day_27_1,chargetime_day_34_1,chargetime_day_37_1,chargetime_day_44_1,chargetime_day_47_1,chargetime_day_14_2,chargetime_day_17_2,chargetime_day_24_2,chargetime_day_27_2,chargetime_day_34_2,chargetime_day_37_2,chargetime_day_44_2,chargetime_day_47_2,chargetime_day_14_3,chargetime_day_17_3,chargetime_day_24_3,chargetime_day_27_3,chargetime_day_34_3,chargetime_day_37_3,chargetime_day_44_3,chargetime_day_47_3,chargetime_day_14_4,chargetime_day_17_4,chargetime_day_24_4,chargetime_day_27_4,chargetime_day_34_4,chargetime_day_37_4,chargetime_day_44_4,chargetime_day_47_4,chargetime_weekend_14,chargetime_weekend_17,chargetime_weekend_24,chargetime_weekend_27,chargetime_weekend_34,chargetime_weekend_37,chargetime_weekend_44,chargetime_weekend_47,chargetime_weekend_time_14_1,chargetime_weekend_time_17_1,chargetime_weekend_time_24_1,chargetime_weekend_time_27_1,chargetime_weekend_time_34_1,chargetime_weekend_time_37_1,chargetime_weekend_time_44_1,chargetime_weekend_time_47_1,chargetime_weekend_time_14_2,chargetime_weekend_time_17_2,chargetime_weekend_time_24_2,chargetime_weekend_time_27_2,chargetime_weekend_time_34_2,chargetime_weekend_time_37_2,chargetime_weekend_time_44_2,chargetime_weekend_time_47_2,chargetime_weekend_time_14_3,chargetime_weekend_time_17_3,chargetime_weekend_time_24_3,chargetime_weekend_time_27_3,chargetime_weekend_time_34_3,chargetime_weekend_time_37_3,chargetime_weekend_time_44_3,chargetime_weekend_time_47_3,chargetime_weekend_time_14_4,chargetime_weekend_time_17_4,chargetime_weekend_time_24_4,chargetime_weekend_time_27_4,chargetime_weekend_time_34_4,chargetime_weekend_time_37_4,chargetime_weekend_time_44_4,chargetime_weekend_time_47_4,electricity_rate,electricity_rate_1_x,rate_source,variable_rates,offsite_chargeloc_14,offsite_chargeloc_17,offsite_chargeloc_24,offsite_chargeloc_27,offsite_chargeloc_34,offsite_chargeloc_37,offsite_chargeloc_44,offsite_chargeloc_47,home_upgrade,home_upgrade_5_x,home_pay,incentive_importance_1,incentive_importance_2,incentive_importance_3,incentive_importance_4,incentive_importance_5,incentive_importance_6,incentive_importance_7,incentive_importance_8,pev_experience
192013,0,1,1, ,3, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,12,1,1, ,3, , , , , , ,3, ,2,2,5,5,2,2,2,2,2,5
190445,0,4,1, ,1, , , , , , , ,2, , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , ,1,26,1,2, , , , , , , , , , , ,5,6,5,2,4,1,5,7,7
191137,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,2, ,2,5,5,5,4,2,2,2,1,7
192203,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,9,1,1, , , , , , , , , , , ,6,5,3,6,7,6,5,7,7
190029,3,0,1, , , , ,1, ,2, , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , ,2, , , , , , , , , ,3, ,2, ,1,5,3,5,4,4,4,5,3,4
190436,0,1,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,13,1,1, ,1, , , , , , ,3, ,1,6,5,5,7,7,7,5,7,7
190537,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,4, ,1,3,3,3,3,7,7,4,7,7
190695,0,1,1, ,3, , , , , , , ,2, , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,16,2,1, ,1, , , , , , ,1, ,3,7,5,5,5,3,7,5,7,7
190751,1,0,1,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,2, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,5
190767,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,2,2,2,2,4,1,5,7,5
190623,5,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3, , , , , , ,4, ,4,1,1,1,1,1,1,5,1,7
190856,6,0,1,1, , , , , , , ,2, , , , , , , ,5, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,4,4,7,5,7,7
190866,2,0,1,1, , , , , , , , , , , , , , , ,4, , , , , , , ,1, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , ,1, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , , , , , , , , ,3,3,4,3,1,1,4,1,5
191165,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, ,2,5,4,3,2,5,3,4,4,4
191258,2,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,4, ,2,1,4,4,5,1,1,5,1,4
191352,1,0,1,1, , , , , , , , , , , , , , , ,5, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , , , , , , , , ,6,4,2,5,1,7,5,1,5
191659,3,0,1,3, , , , , , , ,2, , , , , , , ,4, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,3, , , , , , , ,1, ,1,5,5,5,6,6,6,5,1,4
191527,1,2,1,1,1, , , , , , , , , , , , , , ,2,3, , , , , , ,0,0, , , , , , ,1,1, , , , , , ,0,0, , , , , , ,0,0, , , , , , ,1,2, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , ,1,19,2,3, , , , , , , , , , , ,7,3,3,2,3,1,4,1,4
191594,1,0,1,1, , , , , , , , , , , , , , , ,4, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,1,1,1,1,5
191816,2,0,1,3, , , , , , , ,2, , , , , , , ,5, , , , , , , ,1, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1, , , , , , , ,2, ,3,3,3,2,3,1,1,3,1,4
192046,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , ,7,4,3,2,7,7,3,7,7
192021,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,3, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , , ,0, , , , , , ,2, , , , , , , , , , , , , , ,4,5,4,4,4,7,5,7,7
192239,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, ,1,2,5,5,5,6,6,2,7,5
192301,0,1,1, ,3, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , ,2, , , , ,3, , , , , , ,3, ,3,3,3,3,2,2,1,3,7,6
190396,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,5,5,5,3,3,1,5,1,7
190400,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,4, ,1,3,5,5,1,3,3,5,4,5
190801,0,1,1, ,1, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,7,3,4,4,7,5
190642,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,5,HAVE A SOLAR SYSTEM AT HOME,2,5,5,5,5,5,5,5,5,7
190984,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,1, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,3, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,5,5,1,5,7,7
190993,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , ,6, ,2,3,5,5,5,3,1,5,3,7
191079,0,1,1, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,1, , , , ,4, ,2,5,5,5,7,7,6,4,7,4
191336,1,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,3, , , , , , , ,4, ,3,3,5,4,4,2,6,5,6,7
191345,0,1,1, ,1, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,3,2,4,7,4
191680,1,0,1,1, , , , , , , , , , , , , , , ,3, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,3, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , , , , , , , , ,4,5,5,4,3,2,5,1,5
191380,0,1,1, ,3, , , , , , , , , , , , , , , ,5, , , , , , , ,1, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,1, , , , , , ,1, ,2,6,2,2,7,7,1,2,7,5
191478,2,2,1,1,1, , , , , , ,2,2, , , , , , ,4,3, , , , , , ,0,0, , , , , , ,0,0, , , , , , ,1,1, , , , , , ,0,0, , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , ,6,5,5,3,1,6,3,7,7
190355,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,4, ,2,5,5,5,5,3,7,5,4,7
190480,1,0,1,3, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,2, , , ,3, , , , , , , ,4, ,3,4,4,4,4,3,7,4,7,7
190783,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , ,2, ,2,5,5,5,4,7,7,5,7,7
190847,0,1,1, ,1, , , , , , , ,1, , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,45,2,3, , , , , , , , , , , ,5,5,5,4,4,1,5,1,5
191291,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,2, ,1,5,5,5,5,5,7,5,7,7
191334,1,0,1,1, , , , , , , ,2, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,4,4,2,4,7,7
191709,1,0,1,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,5,4,7,5,7,7
191519,1,0,1,3, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , ,1, , , , , , , ,1, ,1,5,5,5,4,3,1,5,1,7
191579,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,19,1,1, , , , , , , , , , , ,4,4,4,4,4,1,4,1,7
191775,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,7,7,4,1,1,7,2,7,7
192120,0,1,1, ,1, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,13,2,1, , , , , , , , , , , ,5,5,5,5,3,7,5,7,7
192125,0,1,1, ,3, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , ,2, , , , , , , , , ,7,7,3,3,7,7,7,7,5
192233,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, ,4,5,5,5,5,1,1,5,1,7
192298,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,2, ,2,4,5,5,7,3,1,4,7,7
190028,300,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,3,5,3,4,4,3,4,4,1
190401,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,3, ,2,4,3,3,1,1,6,5,7,7
190782,0,2,1, ,3, , , , , , , , , , , , , , , ,4, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , ,2, , , , ,2, , , , , , , , , ,2,3,3,2,3,1,2,1,4
190545,0,2,1, ,1, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,0,1,1, , , , , , , , , , , ,4,5,7,6,6,1,5,7,7
191268,1,0,1,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,3, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , , , , , , , , ,1,1,1,1,7,1,2,7,7
191331,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,6,2,1, , , , , , , , , , , ,4,5,5,5,4,7,5,7,7
191443,0,1,1, ,1, , , , , , , ,2, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,6,4,4,7,7,6,5,7,7
191445,0,1,1, ,3, , , , , , , , , , , , , , , ,3, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,3, , , , , , ,3, ,2,7,4,4,7,3,7,4,7,5
