sampno,total_num_pev,total_num_bev,flag_company_charging,primary_chargeloc_14,primary_chargeloc_17,primary_chargeloc_24,primary_chargeloc_27,primary_chargeloc_34,primary_chargeloc_37,primary_chargeloc_44,primary_chargeloc_47,primary_chargetech_14,primary_chargetech_17,primary_chargetech_24,primary_chargetech_27,primary_chargetech_34,primary_chargetech_37,primary_chargetech_44,primary_chargetech_47,plug_freq_14,plug_freq_17,plug_freq_24,plug_freq_27,plug_freq_34,plug_freq_37,plug_freq_44,plug_freq_47,chargetime_day_14_1,chargetime_day_17_1,chargetime_day_24_1,chargetime_day_27_1,chargetime_day_34_1,chargetime_day_37_1,chargetime_day_44_1,chargetime_day_47_1,chargetime_day_14_2,chargetime_day_17_2,chargetime_day_24_2,chargetime_day_27_2,chargetime_day_34_2,chargetime_day_37_2,chargetime_day_44_2,chargetime_day_47_2,chargetime_day_14_3,chargetime_day_17_3,chargetime_day_24_3,chargetime_day_27_3,chargetime_day_34_3,chargetime_day_37_3,chargetime_day_44_3,chargetime_day_47_3,chargetime_day_14_4,chargetime_day_17_4,chargetime_day_24_4,chargetime_day_27_4,chargetime_day_34_4,chargetime_day_37_4,chargetime_day_44_4,chargetime_day_47_4,chargetime_weekend_14,chargetime_weekend_17,chargetime_weekend_24,chargetime_weekend_27,chargetime_weekend_34,chargetime_weekend_37,chargetime_weekend_44,chargetime_weekend_47,chargetime_weekend_time_14_1,chargetime_weekend_time_17_1,chargetime_weekend_time_24_1,chargetime_weekend_time_27_1,chargetime_weekend_time_34_1,chargetime_weekend_time_37_1,chargetime_weekend_time_44_1,chargetime_weekend_time_47_1,chargetime_weekend_time_14_2,chargetime_weekend_time_17_2,chargetime_weekend_time_24_2,chargetime_weekend_time_27_2,chargetime_weekend_time_34_2,chargetime_weekend_time_37_2,chargetime_weekend_time_44_2,chargetime_weekend_time_47_2,chargetime_weekend_time_14_3,chargetime_weekend_time_17_3,chargetime_weekend_time_24_3,chargetime_weekend_time_27_3,chargetime_weekend_time_34_3,chargetime_weekend_time_37_3,chargetime_weekend_time_44_3,chargetime_weekend_time_47_3,chargetime_weekend_time_14_4,chargetime_weekend_time_17_4,chargetime_weekend_time_24_4,chargetime_weekend_time_27_4,chargetime_weekend_time_34_4,chargetime_weekend_time_37_4,chargetime_weekend_time_44_4,chargetime_weekend_time_47_4,electricity_rate,electricity_rate_1_x,rate_source,variable_rates,offsite_chargeloc_14,offsite_chargeloc_17,offsite_chargeloc_24,offsite_chargeloc_27,offsite_chargeloc_34,offsite_chargeloc_37,offsite_chargeloc_44,offsite_chargeloc_47,home_upgrade,home_upgrade_5_x,home_pay,incentive_importance_1,incentive_importance_2,incentive_importance_3,incentive_importance_4,incentive_importance_5,incentive_importance_6,incentive_importance_7,incentive_importance_8,pev_experience
192099,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,1, ,2,3,4,4,4,3,1,5,1,7
190011,22,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,3,1,2,4,5,6,2,7,5
190048,25,0,1,1, , , , , ,1, ,3, , , , , ,3, ,5, , , , , ,5, ,0, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,0, ,1, , , , , ,1, ,3, , , , , ,3, ,0, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,0, ,1, , , , , ,1, ,1,45,2,3, , , , , , , , , , , ,5,5,4,4,3,4,5,3,6
190178,2,0,1,3, , , , , , , , , , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,2, , , , , , , , , , ,1,1,5,4,1,1,5,1,5
190385,2,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,3,5,3,5,5,4,2,2,4
190722,0,1,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,1, , , , , , ,4, ,2,4,5,5,3,3,1,4,1,7
190731,0,1,1, , , ,1, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , ,2, , , , , , , , , , , , , , ,5,5,5,7,7,7,2,7,7
190974,0,1,1, , , ,3, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , ,1,22,2,2, , , ,2, , , , , , , ,5,5,5,4,6,6,3,7,7
190846,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,3,5,2,5,1,7
190868,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,3, ,2,4,4,4,4,7,7,6,7,7
190934,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,4, ,3,2,5,5,4,4,3,4,1,5
191073,0,2,1, ,1, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , ,1,9,1,1, , , , , , , , , , , ,4,4,4,4,4,1,4,4,7
191067,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,18,2,1, , , , , , , , , , , ,4,5,5,5,4,7,2,7,7
191009,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,4, ,1,3,4,4,3,4,1,5,1,7
191225,0,1,1, ,1, , , , , , , ,2, , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,2,2,1,4,1,5
191227,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,5,5,5,5,5,5,5,1,7
191996,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,2,5,5,7,7,7,4,7,6
191892,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,2, ,2,4,4,4,4,4,1,4,4,7
192047,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3, ,2,2,1,4,1,7,1,1,7,4
192306,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, ,2,4,5,5,5,1,1,1,7,6
190030,2,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,5,5,4,3,4,4,3,2,5
190035,1,0,1,1, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1,50,1,1, , , , , , , , , , , ,3,3,4,4,5,1,2,3,5
190294,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,2,2,1,1,1,1,1,7
190345,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,3, ,2,6,6,4,5,6,7,5,7,5
190423,0,1,1, ,1, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,12,1,1, , , , , , , , , , , ,7,5,5,7,7,7,5,7,6
190393,0,2,1, ,1, ,1, , , , , , , , , , , , , ,3, ,4, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,1, ,1, , , , , ,3, ,3, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,1, ,1, , , , ,2, , , , , , , , , , , , , , ,4,5,4,3,2,7,5,7,5
190458,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, ,2,6,6,6,6,6,6,6,6,4
190467,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,5,5,5,5,3,6,5,5,7
190533,0,1,1, ,3, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,11,2,1, ,3, , , , , , ,2, ,2,3,2,5,3,4,3,5,1,6
190711,0,1,1, , , ,3, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , ,2, , , , , , ,2, , , , , , , ,1,3,3,7,7,7,5,7,4
190721,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,1, ,2,5,5,5,5,5,2,5,5,5
190723,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,2, ,3,5,5,5,4,5,2,5,5,7
190733,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,5,3,3,3,7,7,5,7,7
190740,0,1,1, ,1, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,3,5,5,5,2,6,4,7,7
190744,1,0,1,1, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,3,2,1,3,1,3
190675,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, ,1,5,5,5,5,6,6,5,6,7
190589,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,3, ,2,3,4,3,1,1,7,2,7,7
190610,0,2,1, ,1, ,1, , , , , , , , , , , , , ,5, ,5, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,1, ,1, , , , , ,3, ,3, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,0, ,0, , , , , ,1, ,1, , , , ,2, , , , , , , , , , , , , , ,1,1,1,1,1,1,3,1,7
190626,0,1,1, ,3, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , ,1, , , , , , ,1, ,1,5,5,5,5,5,1,5,1,7
190639,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,3, ,3,3,5,5,5,1,1,5,1,7
190998,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,7,5,5,7,7,7,5,7,7
190865,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,5,5,5,5,5,4,5,7,7
190956,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,5,5,5,5,5,5,5,5,4
191033,0,2,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,3, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,7,6,4,3,7,7,3,7,7
191050,0,1,1, ,1, , , , , , , , , , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,5,5,3,5,5,7
191080,1,0,1,1, , , , , , , ,1, , , , , , , ,3, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,2, , , , , , , , , , , , , , ,1,5,2,2,1,1,5,1,4
191081,0,1,1, , , ,3, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , ,1,8,2,1, , , ,2, , , , , , , ,2,4,4,1,7,1,4,7,7
191134,0,2,1, ,3, , , , , , , ,3, , , , , , , ,4, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , ,2, , , , , , , , , ,5,5,5,5,5,3,5,7,7
191138,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,3, ,4,5,5,5,5,5,1,5,1,4
191191,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,4,4,4,4,3,6,4,7,4
191186,0,1,1, ,1, , , , , , , , , , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,12,1,1, , , , , , , , , , , ,5,5,5,5,3,3,5,1,7
191330,2,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,4,5,5,4,6,6,5,7,7
191376,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,3, ,2,5,5,5,7,1,1,5,7,5
192001,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,4, ,1,5,5,4,3,2,1,5,7,7
191438,0,1,1, , , ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,3, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , ,2, , , , , , , , , , , , , , ,5,5,5,4,7,7,5,7,7
191508,1,0,1,3, , , , , , , ,2, , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , ,1, , , , , , , ,4, ,3,6,3,6,4,6,6,2,7,7
191536,0,3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,3, ,2,7,4,4,6,4,7,4,7,7
191599,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,6,6,6,3,6,7,4,7,7
191817,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,1, ,2,5,5,5,5,5,4,5,5,7
191914,0,1,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,3, , , , , , ,6, ,2,3,4,4,2,2,1,4,1,5
192017,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,2, ,1,4,4,4,3,3,2,4,7,4
192055,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,3, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,1,14,1,1, , , , , , , , , , , ,5,5,5,5,1,1,5,1,7
192092,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3, ,2,4,5,5,1,1,1,5,1,7
192121,0,1,1, ,1, , , , , , , , , , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , ,2, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,7
190015,3,2,1, ,1,1, , , ,1, , , , , , , , , , ,4,5, , , ,5, , ,0,0, , , ,0, , ,0,0, , , ,0, , ,0,0, , , ,0, , ,1,1, , , ,1, , ,3,3, , , ,3, , ,0,0, , , ,0, , ,0,0, , , ,0, , ,0,0, , , ,0, , ,1,1, , , ,1, ,1,34,1,1, , , , , , , , , , , ,4,5,5,4,4,5,3,1,5
190413,1,0,1, , ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , ,6,5,5,5,7,6,5,7,7
191061,0,1,1, ,1, , , , , , , , , , , , , , , ,3, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , ,5,5,5,5,7,7,5,7,5
191003,0,1,1, ,1, , , , , , , , , , , , , , , ,5, , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , ,4,5,5,3,4,1,5,7,7
191567,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, ,1,4,4,4,4,1,1,1,1,5
